Timestamp,Name
00:03,energy-drain-x3
00:06,swiftcast
00:06,chain-stratagem
00:12,whispering-dawn
00:15,dissipation
00:18,energy-drain-x1
00:30,biolysis
00:45,excogitation
01:00,sacred-soil
01:03,biolysis
01:03,aetherflow
01:04,energy-drain-x3
01:03,summon-seraph
01:06,consolation
01:09,fey-illumination
01:18,consolation
01:33,biolysis
01:33,whispering-dawn
01:36,fey-blessing
02:03,biolysis
02:03,aetherflow
02:04,energy-drain-x1
02:12,sacred-soil
02:15,succor
02:42,indominability
02:51,fey-union
03:15,dissipation
03:27,adloquium
03:30,recitation
03:30,deployment-tactics
03:50,fey-blessing
03:53,whispering-dawn
03:57,fey-illumination
04:00,summon-seraph
04:03,sacred-soil
04:06,consolation
04:09,indominability
04:15,consolation
04:24,succor
04:30,succor
04:33,emergency-tactics
04:36,succor
04:42,indominability
