Timestamp,Slug
00:12,tidal-roar
00:24,rip-current
00:25,rip-current
00:43,undersea-quake-sides
00:46,tidal-wave
00:52,temporary-current
01:01,drenching-pulse
01:10,freak-wave
01:14,temporary-current
01:28,maelstrom
01:39,spinning-dive
01:41,spinning-dive
01:52,tidal-roar
02:13,tsunami
02:21,sundering-tsunami-1
02:26,undersea-quake-center
02:38,multiple-smothering-swirling-temporary-current
02:48,tidal-roar
02:56,rip-current
02:57,rip-current
03:07,temporary-current
03:17,tidal-roar
03:44,tidal-rage
03:56,undersea-quake-sides
03:59,tidal-wave
04:06,temporary-current
04:10,temporary-current
04:16,drenching-pulse
04:24,freak-wave
04:29,temporary-current
04:33,temporary-current
04:48,maelstrom-enhanced
05:02,spinning-dive
05:04,spinning-dive
05:06,spinning-dive
05:17,tidal-rage
05:25,rip-current
05:26,rip-current
05:41,stormy-horizon
05:53,backbreaking-wave
05:54,temporary-current
05:58,temporary-current
06:03,plunging-wave
06:14,tidal-rage
06:24,tidal-rage
06:43,drenching-pulse-light
06:51,freak-wave
06:54,undersea-quake-sides
07:08,tsunami
07:17,surging-tsunami
07:22,smothering-tsunami
07:24,sweeping-tsunami
07:30,sundering-tsunami-2
07:34,sundering-tsunami-2
07:38,scouring-tsunami
07:47,temporary-current
07:51,temporary-current
08:04,tidal-rage
08:14,tidal-rage
08:22,rip-current
08:23,rip-current
08:37,roiling-pulse
08:46,multiple-breaking-killer-undersea-quake
08:56,black-smokers
09:02,hydrothermal-vent
09:05,hydrothermal-vent
09:08,hydrothermal-vent
09:11,hydrothermal-vent
09:23,temporary-current
09:27,temporary-current
09:38,tidal-rage
09:50,tidal-rage
10:16,tidal-rage
10:20,tidal-rage
10:29,tidal-rage
10:37,tidal-rage
11:00,enrage
