Timestamp,Name,Phase
00:03,dissipation,1
00:03,energy-drain-x3,1
00:06,swiftcast,1
00:06,chain-stratagem,1
00:15,aetherflow,1
00:16,energy-drain-x2,1
00:18,excogitation,1
00:30,biolysis,1
00:42,adloquium,1
00:54,adloquium,1
01:00,biolysis,1
01:01,lucid-dreaming,1
01:15,aetherflow,1
01:16,energy-drain-x1,1
01:16,excogitation,1
01:30,biolysis,1
01:36,fey-illumination,1
01:42,sacred-soil,1
01:43,whispering-dawn
02:00,biolysis,1
02:01,lucid-dreaming,1
02:15,aetherflow,1
02:21,adloquium,1
02:22,deployment-tactics,1
00:15,biolysis,2
00:16,indominability,2
00:18,energy-drain-x2,2
00:35,dissipation,2
00:36,lucid-dreaming,2
00:39,swiftcast,2
00:40,succor,2
00:42,chain-stratagem,2
00:44,energy-drain-x1,2
00:45,biolysis,2
00:46,lustrate,2
00:47,excogitation,2
00:48,fey-union,2
00:50,aetherflow,2
01:00,sacred-soil,2
01:01,whispering-dawn,2
01:15,biolysis,2
01:18,adloquium,2
01:24,lustrate,2
01:36,lucid-dreaming,2
01:45,biolysis,2
01:46,lucid-dreaming,2
01:50,aetherflow,2
01:52,lustrate,2
01:55,fey-union,2
01:58,excogitation,2
02:15,biolysis,2
02:18,adloquium,2
02:28,whispering-dawn,2
02:32,adloquium,2
02:38,adloquium,2
02:39,deployment-tactics,2
02:40,lucid-dreaming,2
00:03,sacred-soil,3
00:06,succor,3
00:09,succor,3
00:12,biolysis,3
00:13,indominability,3
00:20,chain-stratagem,3
00:27,succor,3
00:29,fey-illumination,3
00:45,dissipation,3
