Timestamp,Name,Phase
00:03,Dissipation,1
00:03,Energy Drain x3,1
00:06,Swiftcast,1
00:06,Chain Stratagem,1
00:15,Aetherflow,1
00:18,Energy Drain x2,1
00:28,Indominability,1
00:30,Biolysis,1
01:00,Biolysis,1
01:01,Summon Seraph,1
01:06,Recitation,1
01:06,Excogitation,1
01:09,Consolation,1
01:15,Aetherflow,1
01:17,Consolation,1
01:18,Energy Drain x1,1
01:27,Fey Illumination,1
01:30,Biolysis,1
01:36,Fey Blessing,1
01:39,Sacred Soil,1
01:42,Whispering Dawn,1
01:48,Indominability,1
02:00,Biolysis,1
02:01,Lucid Dreaming,1
02:06,Chain Stratagem,1
02:09,Succor,1
02:15,Aetherflow,1
02:18,Energy Drain x1,1
02:21,Sacred Soil,1
02:24,Indominability,1
02:27,Adloquium,1
02:30,Deployment Tactics,1
02:36,Fey Blessing,1
03:03,Whispering Dawn,1
03:06,Dissipation,1
03:09,Energy Drain x3,1
03:13,Recitation,1
03:16,Swiftcast,1
03:18,Succor,1
03:21,Aetherflow,1
00:05,Energy Drain x3,2
00:06,Succor,2
00:12,Biolysis,2
00:15,Chain Stratagem,2
00:21,Whispering Dawn,2
00:24,Aetherflow,2
00:27,Recitation,2
00:30,Indominability,2
00:42,Biolysis,2
00:45,Fey Blessing,2
00:51,Fey Illumination,2
00:54,Sacred Soil,2
01:00,Indominability,2
01:03,Excogitation,2
01:06,Fey Union,2
01:12,Biolysis,2
01:13,Lucid Dreaming,2
01:15,Summon Seraph,2
01:21,Consolation,2
01:24,Aetherflow,2
01:25,Energy Drain x2,2
01:25,Whispering Dawn,2
01:30,Consolation,2
01:31,Indominability,2
01:42,Biolysis,2
02:00,Dissipation,2
02:01,Energy Drain x2,2
02:03,Adloquium,2
02:06,Deployment Tactics,2
02:08,Sacred Soil,2
02:12,Biolysis,2
02:12,Recitation,2
02:13,Indominability,2
02:15,Chain Stratagem,2
02:18,Succor,2
02:19,Lucid Dreaming,2
02:24,Aetherflow,2
02:25,Energy Drain x2,2
02:33,Fey Blessing,2
02:42,Biolysis,2
02:48,Fey Union,2
02:57,Excogitation,2
03:00,Whispering Dawn,2
03:03,Fey Illumination,2
03:12,Biolysis,2
03:15,Succor,2
03:24,Aetherflow,2
03:33,Sacred Soil,2
03:36,Fey Blessing,2
03:39,Summon Seraph,2
03:42,Biolysis,2
03:43,Excogitation,2
03:44,Consolation,2
03:48,Consolation,2
03:49,Indominability,2
04:09,Biolysis,2
04:10,Lucid Dreaming,2
04:12,Adloquium,2
04:15,Deployment Tactics,2
04:15,Chain Stratagem,2
04:21,Whispering Dawn,2
04:24,Aetherflow,2
04:25,Energy Drain x2,2
04:25,Sacred Soil,2
04:28,Recitation,2
04:29,Indominability,2
04:42,Biolysis,2
04:42,Fey Blessing,2
05:09,Biolysis,2
05:10,Lucid Dreaming,2
05:12,Fey Illumination,2
05:15,Dissipation,2
05:16,Energy Drain x3,2
05:24,Aetherflow,2
05:25,Energy Drain x1,2
05:27,Sacred Soil,2
05:33,Indominability,2
