Timestamp,Name,Phase
00:03,sleeve-draw,1
00:10,divination,1
00:13,draw,1
00:13,earthly-star-pop,1
00:15,celestial-opposition,1
00:17,celestial-intersection,1
00:26,horoscope-helios-pop,1
00:31,combust-iii,1
00:43,draw,1
00:52,celestial-intersection,1
01:00,earthly-star,1
01:01,combust-iii,1
01:07,aspected-benefic,1
01:08,collective-unconscious,1
01:10,earthly-star-pop,1
01:13,draw,1
01:15,horoscope,1
01:17,celestial-opposition,1
01:20,aspected-helios,1
01:31,combust-iii,1
01:35,horoscope-helios-pop,1
01:40,celestial-intersection,1
01:43,draw,1
01:46,helios,1
02:01,combust-iii,1
02:05,earthly-star,1
02:13,draw,1
02:15,horoscope,1
02:17,celestial-opposition,1
02:18,divination,1
02:24,aspected-helios,1
02:25,earthly-star-pop,1
02:30,celestial-intersection,1
02:31,combust-iii,1
02:33,horoscope-helios-pop,1
02:43,draw,1
03:00,sleeve-draw,1
03:05,earthly-star,1
03:07,celestial-intersection,1
03:12,collective-unconscious,1
03:13,draw,1
03:15,earthly-star-pop,1
03:17,horoscope,1
03:18,aspected-helios,1
03:30,horoscope-helios-pop,1
00:04,lightspeed,2
00:04,helios,2
00:05,horoscope,2
00:07,aspected-helios,2
00:07,combust-iii,2
00:08,draw,2
00:09,earthly-star,2
00:20,divination,2
00:29,earthly-star-pop,2
00:30,horoscope-helios-pop,2
00:37,combust-iii,2
00:38,draw,1
00:45,celestial-opposition,2
00:52,neutral-sect,2
00:54,collective-unconscious,2
00:57,aspected-helios,2
01:05,horoscope,2
01:07,combust-iii,2
01:08,draw,2
01:10,aspected-helios,2
01:10,earthly-star,2
01:30,earthly-star-pop,2
01:32,horoscope-helios-pop,2
01:35,sleeve-draw,2
01:37,combust-iii,2
01:38,draw,2
02:05,horoscope,2
02:07,combust-iii,2
02:08,draw,2
02:10,aspected-helios,2
02:11,earthly-star,2
02:13,celestial-opposition,2
02:20,divination,2
02:23,earthly-star-pop,2
02:37,combust-iii,2
02:38,draw,2
02:50,celestial-intersection,2
02:54,neutral-sect,2
03:05,horoscope,2
03:07,combust-iii,2
03:10,aspected-helios,2
03:11,horoscope-helios-pop,2
03:13,celestial-opposition,2
03:15,earthly-star,2
03:18,draw,2
03:33,collective-unconscious,2
03:35,earthly-star-pop,2
03:37,combust-iii,2
03:38,draw,2
04:07,combust-iii,2
04:13,celestial-opposition,2
04:15,earthly-star,2
04:18,draw,2
04:20,horoscope,2
04:25,divination,2
04:28,helios,2
04:30,earthly-star-pop,2
04:35,sleeve-draw,2
04:37,combust-iii,2
04:45,draw,2
05:07,combust-iii,2
05:13,celestial-opposition,2
05:15,earthly-star,2
05:15,draw,2
05:20,horoscope,2
05:21,aspected-helios,2
05:31,horoscope-helios-pop,2
05:35,earthly-star-pop,2
