Timestamp,Name
00:03,energy-drain-x3
00:06,swiftcast
00:06,chain-stratagem
00:12,fey-blessing
00:15,dissipation
00:18,energy-drain-x2
00:30,biolysis
00:42,surecast
00:48,indominability
01:00,biolysis
01:00,aetherflow
01:03,energy-drain-x3
01:18,whispering-dawn
01:45,biolysis
01:46,lucid-dreaming
01:54,succor
01:57,summon-seraph
01:58,consolation
02:00,aetherflow
02:03,energy-drain-x1
02:06,sacred-soil
02:07,chain-stratagem
02:12,adloquium
02:15,biolysis
02:15,consolation
02:18,deployment-tactics
02:19,fey-illumination
02:36,sacred-soil
02:39,recitation
02:40,indominability
02:45,biolysis
02:46,lucid-dreaming
02:47,fey-blessing
03:00,aetherflow
03:03,energy-drain-x3
03:15,biolysis
03:15,dissipation
03:17,energy-drain-x1
03:18,indominability
03:21,succor
03:43,sacred-soil
03:45,biolysis
03:54,fey-blessing
03:55,surecast
03:57,summon-seraph
03:58,consolation
04:00,aetherflow
04:02,energy-drain-x3
04:06,consolation
04:07,chain-stratagem
04:08,recitation
04:12,swiftcast
04:13,adloquium
04:15,biolysis
04:16,deployment-tactics
04:30,lucid-dreaming
05:00,aetherflow
05:02,energy-drain-x2
05:03,fey-illumination
05:10,biolysis
05:11,sacred-soil
05:18,fey-blessing
05:30,lucid-dreaming
05:36,succor
05:40,biolysis
05:51,whispering-dawn
05:52,recitation
05:57,succor
06:00,aetherflow
06:03,energy-drain-x1
06:06,succor
06:07,chain-stratagem
06:10,biolysis
06:12,sacred-soil
06:15,indominability
06:16,dissipation
06:19,energy-drain-x2
06:40,biolysis
06:41,lucid-dreaming
06:53,indominability
06:56,adloquium
06:59,deployment-tactics
07:00,aetherflow
07:00,summon-seraph
07:02,energy-drain-x2
07:03,consolation
07:04,fey-illumination
07:06,succor
07:09,consolation
07:10,whispering-dawn
07:15,biolysis
07:18,sacred-soil
07:24,recitation
07:25,indominability
07:39,fey-blessing
07:45,biolysis
07:46,lucid-dreaming
07:54,succor
08:00,aetherflow
08:03,sacred-soil
08:08,succor
08:15,biolysis
08:16,indominability
08:45,biolysis
08:46,lucid-dreaming
08:49,fey-blessing
08:51,succor
08:54,whispering-dawn
08:57,recitation
08:58,swiftcast
08:59,succor
09:00,sacred-soil
09:01,aetherflow
09:02,excogitation
09:03,summon-seraph
09:04,consolation
09:07,indominability
09:09,consolation
09:15,biolysis
09:18,lustrate
09:24,dissipation
09:27,energy-drain-x1
09:30,chain-stratagem
09:37,sacred-soil
09:39,indominability
09:42,succor
09:45,biolysis
09:46,lucid-dreaming
09:54,adloquium
09:57,deployment-tactics
09:58,fey-blessing
10:01,aetherflow
10:04,energy-drain-x1
10:12,fey-illumination
10:15,biolysis
10:15,sacred-soil
10:16,succor
10:18,whispering-dawn
10:19,succor
10:21,indominability
10:24,succor
10:32,succor
10:45,biolysis
