Timestamp,Slug
00:10,absolute-zero
00:38,driving-biting-random
00:43,green-mirror-reflect
00:48,red-mirror-reflect
01:02,diamond-frost
01:11,frigid-stone
01:16,heavenly-strike
01:20,frigid-water
01:20,frigid-needle
01:32,driving-biting-inverse
01:40,double-slap
01:54,redress-shining-armor
02:01,scythe-axe-random
02:15,light-rampart
02:27,bright-hunger
02:28,the-path-of-light
02:35,bright-hunger
02:39,the-path-of-light
02:43,bright-hunger
03:03,scythe-axe-inverse
03:08,green-mirror-reflect
03:20,banish
03:33,shattered-world
03:47,heart-asunder
04:02,heart-asunder
04:16,heart-asunder
04:30,heart-asunder
06:07,akh-morn-3
06:16,morn-afah
06:41,hallowed-wings
06:41,blue-mirror-reflect
06:46,green-mirror-reflect
06:51,red-mirror-reflect
07:07,wyrms-lament
07:19,hallowed-wings
07:27,hallowed-wings
07:35,hallowed-wings
07:43,hallowed-wings
07:52,redress-frost-armor
08:00,twin-silence-stillness-random
08:02,twin-silence-stillness-inverse
08:10,double-slap
08:24,redress-drachen-armor
08:26,akh-rhai
08:48,hallowed-wings-knockback
08:53,green-mirror-reflect
08:59,red-mirror-reflect
09:25,redress-shining-armor
09:25,blue-mirror-reflect
09:30,green-mirror-reflect
09:35,red-mirror-reflect
09:36,holy
09:44,embittered-spiteful-dance-random
09:48,embittered-spiteful-dance-inverse
10:07,redress-drachen-armor
10:09,akh-rhai
10:17,red-mirror-reflect
10:19,akh-morn-4
10:29,morn-afah
10:54,icelit-dragonsong
11:02,frigid-stone
11:05,bright-hunger
11:10,frigid-needle
11:11,bright-hunger
11:21,bright-hunger
11:27,the-house-of-light
11:48,redress-frost-armor
11:59,red-mirror-reflect
11:59,redress-drachen-armor
12:01,akh-rhai
12:17,wyrms-lament
12:24,akh-morn-5
12:35,morn-afah
12:42,akh-morn-6
12:55,morn-afah
13:02,akh-morn-7
13:16,morn-afah
13:48,hallowed-wings
13:58,enrage
